index,num_trials,num_successes,volume_quality,epsilon_quality,grasp_fnm
0,10,0,0.0,-1.0,grasp_0000.npy
1,10,0,0.0,-1.0,grasp_0001.npy
2,10,0,0.0182888549718814,0.007739385852711611,grasp_0002.npy
3,10,10,0.016954237230795845,0.007401744118291783,grasp_0003.npy
4,10,0,0.0,-1.0,grasp_0004.npy
5,10,10,0.03257274777806627,0.018646966565399978,grasp_0005.npy
6,10,0,0.04594171551519002,0.025046795978528658,grasp_0006.npy
7,10,6,0.0,-1.0,grasp_0007.npy
8,10,5,0.0,-1.0,grasp_0008.npy
9,10,0,0.0,-1.0,grasp_0009.npy
10,10,10,0.034861847457172364,0.009464970012712404,grasp_0010.npy
11,10,0,0.019263852644291115,0.009939590000085567,grasp_0011.npy
12,10,0,0.0,-1.0,grasp_0012.npy
13,10,0,0.0,-1.0,grasp_0013.npy
14,10,0,0.0,-1.0,grasp_0014.npy
15,10,0,0.0,-1.0,grasp_0015.npy
16,10,0,0.056778040356249664,0.023369192587522333,grasp_0016.npy
17,10,10,0.018144807360170333,0.007002150156887321,grasp_0017.npy
18,10,0,0.01816773452580893,0.006443238068624568,grasp_0018.npy
19,10,0,0.0,-1.0,grasp_0019.npy
20,10,0,0.0,-1.0,grasp_0020.npy
21,10,0,0.019446452482733457,-1.0,grasp_0021.npy
22,10,10,0.21637458706353183,0.10367355490716434,grasp_0022.npy
23,10,10,0.03345058371628605,-1.0,grasp_0023.npy
24,10,0,0.0,-1.0,grasp_0024.npy
25,10,0,0.0,-1.0,grasp_0025.npy
26,10,0,0.0,-1.0,grasp_0026.npy
27,10,0,0.019982472253972396,0.005955863809005119,grasp_0027.npy
28,10,0,0.0,-1.0,grasp_0028.npy
29,10,0,0.0,-1.0,grasp_0029.npy
30,10,9,0.1036319121076206,0.04345664513641073,grasp_0030.npy
31,10,0,0.0,-1.0,grasp_0031.npy
32,10,0,0.0,-1.0,grasp_0032.npy
33,10,0,0.0,-1.0,grasp_0033.npy
34,10,0,0.01790294913930919,-1.0,grasp_0034.npy
35,10,0,0.0,-1.0,grasp_0035.npy
36,10,0,0.024067038553354524,0.0013367289088233036,grasp_0036.npy
37,10,5,0.014675372223984292,-1.0,grasp_0037.npy
38,10,0,0.02573964877775221,0.0033533065780562265,grasp_0038.npy
39,10,0,0.0,-1.0,grasp_0039.npy
40,10,10,0.0,-1.0,grasp_0040.npy
41,10,0,0.0,-1.0,grasp_0041.npy
42,10,0,0.02311070061433403,0.010308627978033835,grasp_0042.npy
43,10,10,0.0,-1.0,grasp_0043.npy
44,10,0,0.0073730525737811135,0.011639255527769121,grasp_0044.npy
45,10,0,0.0,-1.0,grasp_0045.npy
46,10,0,0.0,-1.0,grasp_0046.npy
47,10,0,0.001820299527177471,-1.0,grasp_0047.npy
48,10,0,0.0,-1.0,grasp_0048.npy
49,10,0,0.02055651733883899,0.011494695722517531,grasp_0049.npy
50,10,0,0.0,-1.0,grasp_0050.npy
51,10,0,0.0767107706322655,0.03100124309516119,grasp_0051.npy
52,10,10,0.0,-1.0,grasp_0052.npy
